,자치구명,행정동명,년도,인허가일자,폐업일자,영업상태코드,영업상태명,사업장명,X,Y,시설총규모,규모분기,총층수1,업소위치분기,영업기간,당월_매출_금액,당월_매출_건수,점포수,cluster_id,역이름,SX,SY,호선,distance,d_code
8,종로구,종로1.2.3.4가동,1990,1990-04-24,2014-11-24,2,폐업,명 다방,126.986202,37.57238053,45.15,5,1.0,1,8980,385169402.0,28637.0,13.0,205.0,종각역,126.9831338,37.57022168,01호선,0.36159,2
96,종로구,종로1.2.3.4가동,1992,1992-11-27,2020-12-31,1,영업,세운다방,126.9935082,37.56933541,14.2,1,1.0,1,10261,152473261.0,43013.0,2.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.17035,1
153,종로구,종로1.2.3.4가동,1993,1993-09-08,2020-12-31,1,영업,그린파워,126.9909561,37.56936698,6.0,1,1.0,1,9976,385169402.0,28637.0,13.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.15715,1
165,종로구,종로1.2.3.4가동,1993,1993-11-01,2020-12-31,1,영업,영풍개발(주),126.9792415,37.56957984,106.12,9,5.0,1,9922,83213521.0,13240.0,6.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.33909,2
168,종로구,종로1.2.3.4가동,1993,1993-11-05,2020-12-31,1,영업,향원휴게실,126.99425049999999,37.56912675,11.2,1,1.0,1,9918,206368601.0,17347.0,14.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.23488,1
288,종로구,종로5.6가동,1995,1995-04-13,2020-12-31,1,영업,합동휴게실,127.00445649999999,37.57060611,4.8,1,1.0,1,9394,152473261.0,43013.0,2.0,207.0,종로5가역,127.0015395,37.57096169,01호선,0.26011,1
307,종로구,창신제1동,1996,1996-01-30,2016-01-29,2,폐업,아리스타 커피숍,127.01264579999999,37.57012827,99.58,9,6.0,1,7304,83213521.0,13240.0,6.0,61.0,동대문역,127.010618,37.571664,04호선,0.24718,1
324,종로구,종로1.2.3.4가동,1996,1996-09-30,2013-11-18,2,폐업,보이고사,126.98078729999999,37.57551506,24.47,3,1.0,1,6258,332109487.0,30541.0,13.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.42243,2
333,종로구,혜화동,1996,1996-08-27,2018-01-22,2,폐업,일미오,126.9945048,37.58430786,29.0,3,1.0,1,7818,110160048.0,12518.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.70133,3
389,종로구,종로1.2.3.4가동,1999,1999-10-05,2020-12-31,1,영업,꽃휴게실,126.9884622,37.56939953,52.08,5,2.0,1,7758,152473261.0,43013.0,2.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.34381,2
390,종로구,종로1.2.3.4가동,1999,1999-11-02,2014-05-28,2,폐업,서울,126.9934912,37.56900989,0.0,1,4.0,1,5321,152473261.0,43013.0,2.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.19674,1
407,종로구,종로1.2.3.4가동,1999,1999-03-15,2020-12-31,1,영업,종로서적휴게실,126.9820433,37.56995562,48.15,5,6.0,1,7962,152473261.0,43013.0,2.0,205.0,종각역,126.9831338,37.57022168,01호선,0.10056,1
432,종로구,종로1.2.3.4가동,2000,2000-03-13,2012-05-11,2,폐업,TEA FOR TWO,126.9832977,37.5690706,322.14,10,3.0,1,4442,607241430.0,71446.0,9.0,205.0,종각역,126.9831338,37.57022168,01호선,0.12880999999999998,1
438,종로구,종로5.6가동,2000,2000-04-24,2020-12-31,1,영업,지하철,126.9993413,37.57071807,54.32,6,0.0,1,7556,208625561.0,23426.0,8.0,207.0,종로5가역,127.0015395,37.57096169,01호선,0.19562000000000002,1
441,종로구,혜화동,2000,2000-06-08,2020-12-31,1,영업,삼성 웰스토리 성대옥류천T.O,126.99284899999999,37.58579779,13.2,1,4.0,1,7511,110160048.0,12518.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.9030299999999999,4
451,종로구,종로1.2.3.4가동,2000,2000-09-29,2012-06-14,2,폐업,유별난떡볶기,126.9845136,37.57077534,16.8,2,0.0,1,4276,607241430.0,71446.0,9.0,205.0,종각역,126.9831338,37.57022168,01호선,0.1363,1
452,종로구,종로1.2.3.4가동,2000,2000-11-04,2012-05-11,2,폐업,십이-십육(12-16),126.9832977,37.5690706,125.62,9,9.0,1,4206,607241430.0,71446.0,9.0,205.0,종각역,126.9831338,37.57022168,01호선,0.12880999999999998,1
460,종로구,종로1.2.3.4가동,2000,2000-12-11,2020-12-31,1,영업,승리휴게실,126.99012250000001,37.56982927,13.6,1,5.0,1,7325,152473261.0,43013.0,2.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.18993,1
475,종로구,혜화동,2001,2001-05-18,2020-12-31,1,영업,동우네커피집,126.9946658,37.58466212,24.8,3,3.0,1,7167,110160048.0,12518.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.7036,3
476,종로구,가회동,2001,2001-05-30,2020-12-31,1,영업,아꼬떼,126.9836639,37.57762382,8.0,1,2.0,1,7155,570413765.0,42592.0,21.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.19935,1
479,종로구,종로1.2.3.4가동,2001,2001-08-07,2020-12-31,1,영업,로즈버드,126.98799369999999,37.57006458,25.67,3,3.0,1,7086,152473261.0,43013.0,2.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.36794,2
488,종로구,숭인제1동,2001,2001-09-14,2020-12-31,1,영업,이디야에스프레소신설점,127.01951470000002,37.57434779,44.65,5,4.0,1,7048,774774.0,144.0,1.0,64.0,동묘앞역,127.01634609999999,37.57321306,06호선,0.30643000000000004,2
493,종로구,가회동,2001,2001-10-29,2013-09-09,2,폐업,리리카,126.9828245,37.57809478,16.92,2,3.0,1,4333,22448140.0,4281.0,4.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.28985,2
497,종로구,종로1.2.3.4가동,2001,2001-11-24,2016-10-17,2,폐업,(주)질시루,126.98775069999999,37.57489226,102.35,9,1.0,1,5441,385169402.0,28637.0,13.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.6301899999999999,3
506,종로구,종로1.2.3.4가동,2001,2001-12-28,2017-04-05,2,폐업,민들레영토,126.9823991,37.57060572,189.96,10,0.0,1,5577,152473261.0,43013.0,2.0,205.0,종각역,126.9831338,37.57022168,01호선,0.07757,1
511,종로구,종로1.2.3.4가동,2002,2002-01-03,2020-12-31,1,영업,시애틀포트커피숖,126.9818021,37.56995719,4.83,1,4.0,1,6937,152473261.0,43013.0,2.0,205.0,종각역,126.9831338,37.57022168,01호선,0.121,1
517,종로구,삼청동,2002,2002-02-08,2018-09-19,2,폐업,서울셀렉션(주),126.9769928,37.57649292,41.32,4,3.0,1,6067,264624047.0,20252.0,15.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.54161,3
518,종로구,청운효자동,2002,2002-02-20,2020-12-31,1,영업,수래연,126.97477509999999,37.56954991,140.59,10,4.0,1,6889,83213521.0,13240.0,6.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.27382,1
519,종로구,종로5.6가동,2002,2002-02-25,2020-12-31,1,영업,커피스토리,127.003354,37.57133279,8.19,1,1.0,1,6884,152473261.0,43013.0,2.0,207.0,종로5가역,127.0015395,37.57096169,01호선,0.16515,1
522,종로구,삼청동,2002,2002-02-27,2020-12-31,1,영업,화동커피,126.9793957,37.57929244,11.78,1,4.0,1,6882,332109487.0,30541.0,13.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.61536,3
528,종로구,종로1.2.3.4가동,2002,2002-03-06,2020-12-31,1,영업,뎀셀브즈,126.9850652,37.56916927,357.66,10,7.0,1,6875,607241430.0,71446.0,9.0,205.0,종각역,126.9831338,37.57022168,01호선,0.20656999999999998,1
537,종로구,숭인제1동,2002,2002-04-09,2020-12-31,1,영업,아리스타,127.01913290000002,37.57423179,36.99,4,25.0,0,6841,152473261.0,43013.0,2.0,64.0,동묘앞역,127.01634609999999,37.57321306,06호선,0.27046,1
540,종로구,종로5.6가동,2002,2002-05-04,2020-12-31,1,영업,위드(With),126.9976348,37.57503172,21.23,2,0.0,1,6816,332109487.0,30541.0,13.0,207.0,종로5가역,127.0015395,37.57096169,01호선,0.5685399999999999,3
542,종로구,가회동,2002,2002-05-09,2020-12-31,1,영업,셀렉토 커피 안국역점,126.98370870000001,37.57838075,16.88,2,1.0,1,6811,570413765.0,42592.0,21.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.25843,1
545,종로구,종로5.6가동,2002,2002-06-20,2020-12-31,1,영업,그린,127.00532290000001,37.5705679,8.0,1,4.0,1,6769,152473261.0,43013.0,2.0,207.0,종로5가역,127.0015395,37.57096169,01호선,0.33631,2
546,종로구,종로1.2.3.4가동,2002,2002-06-22,2020-12-31,1,영업,다솜커피숖,126.9885297,37.56882758,33.44,4,0.0,1,6767,152473261.0,43013.0,2.0,188.0,을지로3가역,126.99096750000001,37.56627618,03호선,0.35588000000000003,2
550,종로구,종로1.2.3.4가동,2002,2002-07-23,2020-12-31,1,영업,(주)커피빈코리아종로관철동점,126.9838455,37.56848215,394.75,10,3.0,1,6736,83213521.0,13240.0,6.0,205.0,종각역,126.9831338,37.57022168,01호선,0.20334000000000002,1
552,종로구,종로1.2.3.4가동,2002,2002-08-21,2017-08-29,2,폐업,쥬얼리휴게실,126.98966329999999,37.57241635,10.26,1,5.0,1,5487,385169402.0,28637.0,13.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.31151999999999996,2
555,종로구,종로1.2.3.4가동,2002,2002-09-07,2020-12-31,1,영업,우리,126.98843740000001,37.57498474,17.36,2,1.0,1,6690,332109487.0,30541.0,13.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.60354,3
558,종로구,종로1.2.3.4가동,2002,2002-09-12,2020-12-31,1,영업,뮤즈,126.98918710000001,37.569578899999996,8.4,1,6.0,0,6685,385169402.0,28637.0,13.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.27693,1
562,종로구,종로1.2.3.4가동,2002,2002-09-27,2016-09-06,2,폐업,할리스커피 종로점,126.98511429999999,37.56985887,323.96,10,1.0,1,5093,607241430.0,71446.0,9.0,205.0,종각역,126.9831338,37.57022168,01호선,0.17915,1
568,종로구,종로1.2.3.4가동,2002,2002-10-29,2018-11-23,2,폐업,커피빈코리아 광화문점,126.97597090000001,37.56978555,414.25,10,1.0,1,5869,152473261.0,43013.0,2.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.21025,1
571,종로구,종로1.2.3.4가동,2002,2002-11-08,2013-07-10,2,폐업,스타벅스 수송동점,126.97904479999998,37.57544778,193.28,10,1.0,1,3897,332109487.0,30541.0,13.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.48252,3
580,종로구,종로1.2.3.4가동,2002,2002-12-20,2019-10-08,2,폐업,스타벅스 새종로점,126.9835594,37.56966417,385.88,10,6.0,1,6136,607241430.0,71446.0,9.0,205.0,종각역,126.9831338,37.57022168,01호선,0.07246,1
587,종로구,종로1.2.3.4가동,2003,2003-02-12,2015-09-02,2,폐업,쎄리오 국세청점,126.9769813,37.57406873,29.67,3,2.0,1,4585,152473261.0,43013.0,2.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.27426999999999996,1
602,종로구,혜화동,2003,2003-05-31,2020-12-31,1,영업,엘빠소,126.9947655,37.58439624,11.04,1,1.0,1,6424,110160048.0,12518.0,14.0,234.0,혜화역,127.00192460000001,37.5820259,04호선,0.6837,3
611,종로구,종로1.2.3.4가동,2003,2003-08-05,2020-12-31,1,영업,장사찻집,126.9900688,37.56960353,13.72,1,10.0,1,6358,152473261.0,43013.0,2.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.20425,1
614,종로구,종로1.2.3.4가동,2003,2003-08-20,2019-12-11,2,폐업,은성휴게실,126.99417340000002,37.57228586,10.0,1,1.0,1,5957,206368601.0,17347.0,14.0,206.0,종로3가역,126.9921442,37.57042084,03호선,0.27384000000000003,1
615,종로구,종로1.2.3.4가동,2003,2003-08-25,2020-12-31,1,영업,삼일세렘사우나내스넥코너,126.98426409999998,37.56858649,10.5,1,6.0,0,6338,83213521.0,13240.0,6.0,205.0,종각역,126.9831338,37.57022168,01호선,0.20733000000000001,1
621,종로구,가회동,2003,2003-11-13,2020-12-31,1,영업,쥬씨,126.9837055,37.57797964,39.6,4,4.0,1,6258,570413765.0,42592.0,21.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.22391,1
626,종로구,종로1.2.3.4가동,2003,2003-12-31,2020-12-31,1,영업,스타벅스영풍문고점,126.9792415,37.56957984,189.0,10,5.0,1,6210,83213521.0,13240.0,6.0,18.0,광화문역,126.9764096,37.5716441,05호선,0.33909,2
632,종로구,종로1.2.3.4가동,2004,2004-02-20,2018-01-30,2,폐업,GS25종로삼일점,126.98426409999998,37.56858649,4.0,1,10.0,1,5093,83213521.0,13240.0,6.0,205.0,종각역,126.9831338,37.57022168,01호선,0.20733000000000001,1
633,종로구,삼청동,2004,2004-03-03,2013-09-09,2,폐업,베네,126.97912340000002,37.57891067,18.02,2,11.0,1,3477,332109487.0,30541.0,13.0,154.0,안국역,126.98541920000001,37.57649291,03호선,0.61652,3
651,종로구,종로1.2.3.4가동,2004,2004-08-12,2019-10-22,2,폐업,톰지커피숍,126.98645330000001,37.57229723,125.13,9,6.0,1,5549,385169402.0,28637.0,13.0,205.0,종각역,126.9831338,37.57022168,01호선,0.37263,2
