,년도,영업상태코드,X,Y,시설총규모,업소위치분기,영업기간,distance,창업월,구_1_25,프랜차이즈여부_02,sub_1_9
0,1990.0,2,126.9706543,37.5760677,74.47,1,3656,0.26746,9,23,0,03
1,1990.0,2,126.97042240000002,37.57623385,99.21,1,5118,0.29035,9,23,0,03
2,1990.0,2,126.98677759999998,37.57098222,32.0,1,2122,0.33209,8,23,0,01
3,1990.0,2,127.01873570000001,37.57408223,139.0,1,1355,0.23171,12,23,0,06
4,1990.0,2,127.0159939,37.57363259,115.84,1,3688,0.056029999999999996,7,23,0,06
6,1990.0,2,126.9830993,37.56907668,64.45,1,3316,0.12735,10,23,0,01
7,1990.0,2,126.9904098,37.57152315,77.53,1,4365,0.19593,3,23,0,03
8,1990.0,2,126.986202,37.57238053,45.15,1,8980,0.36159,4,23,0,01
9,1990.0,2,127.00867269999999,37.57212237,130.06,1,3187,0.17886,11,23,0,04
11,1990.0,2,126.9955086,37.58293347,50.88,1,2339,0.57431,2,23,0,04
13,1990.0,2,126.98251880000001,37.57426807,43.68,1,2119,0.45319,6,23,0,01
14,1990.0,2,126.98528789999999,37.57240303,131.51,1,272,0.30801999999999996,6,23,0,01
15,1990.0,2,126.9865169,37.57152546,61.16,1,549,0.33154,6,23,0,01
16,1990.0,2,127.0036054,37.57027472,36.84,1,1795,0.19745,3,23,0,01
17,1990.0,2,126.968461,37.58168848,79.23,1,403,0.80067,7,23,0,03
18,1990.0,2,126.9721432,37.60859235,113.58,1,1275,3.47975,9,23,0,03
19,1990.0,2,126.9565257,37.59913508,74.3,1,535,1.92513,10,23,0,03
21,1990.0,2,126.9835594,37.56966417,108.44,1,2481,0.07246,5,23,0,01
22,1990.0,2,126.9827166,37.57573096,77.72,1,2429,0.25279,2,23,0,03
23,1991.0,2,126.9844981,37.56944867,98.29,1,1795,0.1478,6,23,0,01
25,1991.0,2,126.9839884,37.57233099,116.99,1,3589,0.24634,2,23,0,01
26,1991.0,2,126.96817079999998,37.57976562,36.81,1,3907,0.65601,1,23,0,03
27,1991.0,2,126.9990268,37.57850322,90.22,1,3297,0.46758999999999995,6,23,0,04
28,1991.0,2,126.96476000000001,37.56928987,67.98,1,2321,0.42686999999999997,3,23,0,05
29,1991.0,2,126.96181499999999,37.56834758,65.32,1,2025,0.51354,12,23,0,05
30,1991.0,2,127.01086740000001,37.5713979,75.16,1,1762,0.036860000000000004,11,23,0,04
31,1991.0,2,126.9844498,37.57065473,91.94,1,8952,0.12558,7,23,0,01
32,1991.0,2,126.9889906,37.57294424,104.94,1,2898,0.39494,11,23,0,03
33,1991.0,1,126.98528789999999,37.57240303,80.72,1,10647,0.30801999999999996,11,23,0,01
34,1991.0,2,126.98885959999998,37.56918896,98.79,1,3257,0.32026,6,23,0,03
36,1991.0,2,127.0008386,37.58208527,88.72,1,2848,0.09593,4,23,0,04
37,1991.0,2,127.0001684,37.58300604,113.39,1,1435,0.18928,4,23,0,04
38,1991.0,1,126.9945739,37.56970722,118.74,1,10713,0.22837,9,23,0,03
39,1991.0,2,126.9825068,37.56967092,82.3,1,1200,0.08249,5,23,0,01
40,1991.0,2,126.9804094,37.57172928,74.18,1,2814,0.29284,12,23,0,01
41,1991.0,1,126.98246699999999,37.57454099,52.6,1,10724,0.48386999999999997,8,23,0,01
42,1991.0,2,126.98359479999999,37.5749223,80.99,1,2391,0.23738,3,23,0,03
44,1991.0,2,126.96973270000001,37.57038947,120.58,1,1989,0.5838800000000001,7,23,0,05
45,1991.0,2,126.98310829999998,37.57306622,52.21,1,2496,0.31631,5,23,0,01
46,1991.0,2,126.98190919999999,37.56967594,221.21,1,2092,0.12382,3,23,0,01
48,1991.0,2,127.0078116,37.57374079,62.57,1,1452,0.33838,1,23,0,04
49,1991.0,2,126.96944740000002,37.57781514,83.46,1,867,0.43496,1,23,0,03
50,1991.0,2,126.9845136,37.57077534,161.6,1,1015,0.1363,1,23,0,01
