,시설총규모,업소위치분기,distance,성공여부,창업월,구_1_25,프랜차이즈여부_02,sub_19
32243,451.18,1,1.10014,1,12,8,2,8
11737,60.55,1,1.62516,1,5,20,0,5
27874,54.09,0,0.40774,1,7,1,1,1
19133,55.5,1,2.78004,1,2,23,0,4
29605,82.5,1,0.34979,0,7,1,0,6
23214,12.0,1,0.47284,1,7,9,0,1
9976,16.1,1,0.69291,1,4,25,0,7
11868,21.08,2,0.9231600000000001,1,10,20,0,5
12580,32.08,0,0.31861,0,8,11,0,1
18612,23.5,1,0.9272600000000001,1,8,14,0,4
30363,146.02,1,0.54613,1,9,1,0,8
20528,13.2,2,0.27081,0,4,6,0,1
31472,72.47,1,0.5807399999999999,1,10,8,0,8
33722,4.35,0,1.05766,1,8,10,0,9
20416,24.0,1,0.2542,1,7,6,2,4
28982,148.76,1,0.72743,1,3,1,0,3
4957,63.15,1,0.30146,1,8,21,0,1
8300,26.4,0,1.42101,1,4,22,0,6
7177,33.0,1,0.06772,1,1,12,1,2
10591,34.0,1,0.5355,0,8,24,0,4
28425,76.46,1,0.2759,1,11,1,1,1
10081,26.0,1,0.30906999999999996,1,8,25,0,7
25385,16.53,1,0.38895,1,4,2,0,3
8434,26.8,1,0.26228,1,8,22,0,6
2148,53.04,1,0.39692,0,7,4,0,3
2921,4.0,0,0.43993999999999994,1,1,4,0,1
11498,42.88,1,0.54215,1,6,16,0,6
9538,53.19,1,0.40867,1,8,13,0,7
18467,89.1,1,1.0104,1,1,14,0,4
23597,9.0,1,0.9462700000000001,0,9,9,0,6
21276,23.1,1,0.28991999999999996,0,5,6,0,1
14989,6.76,1,0.46598999999999996,0,3,3,0,5
28563,195.73,1,0.66706,0,5,1,0,6
12210,13.2,1,0.23128,1,2,20,0,5
8372,19.8,0,0.80438,0,8,22,0,6
6093,36.03,1,0.6483300000000001,1,4,18,0,6
2904,207.17,1,0.13215,1,11,4,0,1
12932,15.0,1,1.28475,1,1,11,0,1
10362,115.0,1,0.41634,1,10,24,0,4
11446,64.0,1,0.23905,1,9,16,0,5
16240,84.0,1,0.64727,1,10,15,0,1
16311,372.38,2,1.6653900000000001,1,7,15,2,2
26148,7.55,2,1.13634,1,2,2,0,3
17832,10.0,1,0.39132,0,5,7,0,8
16231,46.2,0,1.15673,1,8,15,0,8
23091,115.5,1,1.60664,1,3,9,0,1
20155,81.99,1,0.47185,1,2,6,0,6
8207,9.91,1,0.55037,0,10,22,0,6
10460,40.0,1,1.7064700000000002,1,7,24,0,4
25496,130.95,0,0.76232,1,1,2,0,3
13964,11.52,1,0.42863,1,5,3,0,2
13684,49.01,1,0.72145,1,8,3,0,5
26117,40.0,1,0.24025,1,11,2,0,1
18419,64.46,1,0.4505,0,4,14,0,4
29083,56.66,1,0.605,1,7,1,0,6
20001,91.53,1,0.28475,1,11,6,0,1
27482,52.89,1,0.9581200000000001,1,6,1,0,6
14292,23.14,2,0.49808,1,8,3,0,5
18174,93.05,1,0.31609,0,9,14,0,4
28903,59.07,1,0.38221,1,10,1,0,1
20501,0.0,1,0.24056,1,5,6,2,8
14537,43.76,1,1.2681200000000001,1,7,3,0,5
18604,64.0,0,0.64499,1,6,14,2,6
4813,33.55,1,0.88956,1,3,17,0,7
1350,39.68,1,0.29424,1,6,5,2,4
1015,59.4,1,0.18453,1,5,5,0,4
26813,35.96,1,0.39189,1,12,1,0,1
7881,78.63,1,0.42933000000000004,1,12,22,0,6
2346,57.3,1,0.45664,0,1,4,0,1
27181,183.5,1,0.74316,0,2,1,0,1
15613,26.0,1,0.25745,1,7,3,0,2
17134,20.6,1,0.45797,1,12,7,0,2
13073,10.0,1,0.33361,0,7,11,0,1
8274,45.46,1,0.11467000000000001,0,11,22,0,6
1225,78.21,0,0.19362000000000001,1,7,5,0,2
14075,34.96,1,1.20484,1,12,3,0,5
22121,19.25,1,0.6319600000000001,1,3,19,0,4
6159,15.12,1,0.74669,1,9,18,0,1
1138,23.29,1,0.66835,0,9,5,0,3
31347,127.74,1,0.48378999999999994,1,12,8,0,9
28552,138.6,1,0.35539,1,5,1,0,6
24779,65.0,1,0.49605,1,1,2,0,3
24784,8.26,0,0.38895,0,2,2,0,3
18458,26.4,1,0.6221800000000001,1,3,14,0,4
23395,201.17,1,1.06168,1,4,9,1,1
6984,30.07,1,0.22635999999999998,1,10,12,0,4
32743,116.98,1,0.3057,1,3,10,0,2
5390,69.5,1,0.28757,1,4,21,1,2
8149,66.0,1,0.29181999999999997,1,2,22,0,6
28671,46.1,0,0.42721000000000003,1,10,1,0,8
1443,36.3,0,1.4568,1,5,5,0,3
21825,68.29,1,0.06165,1,4,19,0,6
9747,66.11,1,0.14010999999999998,1,6,25,0,7
8223,51.83,1,0.83401,0,3,22,0,4
5975,79.0,1,0.35569,0,5,18,0,1
4829,41.54,1,0.29131999999999997,1,5,17,0,5
31471,43.05,1,0.63075,0,6,8,0,9
19754,45.36,1,0.4954,1,12,23,1,4
26470,90.72,1,1.05885,1,9,1,0,8
21980,0.0,1,0.49854,0,10,19,0,6
11894,18.0,1,2.47283,1,3,20,0,5
5212,34.0,1,0.30599,0,2,21,0,3
19430,71.0,0,0.46375,1,1,23,0,4
29890,13.2,1,0.35716,1,7,1,0,3
12371,43.37,1,0.35838000000000003,0,8,20,0,5
19945,47.07,1,0.41079,0,12,6,0,1
7225,15.0,1,0.13332,1,6,12,0,2
11395,33.69,1,0.50449,0,12,16,0,5
12256,30.37,1,3.10486,1,11,20,0,5
526,16.1,1,0.23964000000000002,1,3,5,0,4
4253,188.39,0,0.31804,1,10,17,2,4
32740,31.82,1,0.11049,1,11,10,0,2
8572,0.0,1,0.37684,1,11,13,0,5
25216,23.1,1,0.2944,1,11,2,0,1
14524,38.55,1,0.43522,0,5,3,0,1
22699,120.19,1,0.34934,1,7,9,0,1
2410,95.0,1,0.33429000000000003,1,11,4,0,7
14322,14.85,1,0.22455,0,10,3,0,2
23814,127.41,1,0.48317,1,12,9,0,1
16501,462.73,1,0.32941,1,12,15,2,2
1498,16.5,1,0.32149,1,10,5,0,7
26559,100.82,1,0.24904,1,12,1,0,1
404,25.2,1,0.5977899999999999,1,3,5,0,3
31540,138.46,1,1.54474,1,5,8,0,3
16934,100.83,1,0.68037,1,9,7,0,2
24148,66.3,1,0.12605999999999998,1,11,2,0,8
22959,47.97,1,0.21844,1,2,9,0,1
14921,44.5,1,0.6449699999999999,1,10,3,1,5
32097,18.24,1,0.1957,0,2,8,0,1
33661,30.92,1,0.52915,1,9,10,0,2
18620,16.5,1,0.21965,1,10,14,0,4
11123,222.32,1,0.39799999999999996,1,11,16,2,4
32962,6.02,1,0.97206,1,8,10,0,9
9377,50.0,1,0.23303000000000001,1,5,13,0,5
7991,93.79,1,0.27309,1,6,22,0,6
5766,99.0,1,0.7043699999999999,1,6,18,0,1
11139,31.05,1,0.8585,1,3,16,0,6
11801,5.94,2,0.9404600000000001,1,5,20,0,5
13657,61.2,1,0.44715,1,11,3,0,5
7165,39.8,1,0.01853,1,4,12,2,4
30032,95.0,1,0.26075,0,12,1,0,8
11412,59.8,1,0.24413,1,4,16,0,5
9338,23.8,1,0.69217,1,11,13,0,7
3635,6.0,1,0.32798,1,2,4,0,2
2880,15.87,1,0.24736999999999998,1,7,4,0,1
28277,39.6,1,0.50044,1,4,1,0,3
3536,18.0,0,0.2431,1,4,4,0,1
15987,22.11,1,1.30803,0,5,15,0,1
32517,26.0,1,1.28188,1,1,8,0,8
24465,187.1,0,0.38895,1,10,2,0,3
13486,20.0,1,1.03671,1,2,11,0,5
9216,70.0,1,0.3274,1,10,13,2,7
30476,131.47,1,0.08849,1,1,1,0,6
7160,25.65,1,0.40968999999999994,1,10,12,0,4
13453,237.9,1,1.60465,1,10,11,2,5
15771,46.24,0,0.36065,1,7,15,0,1
5104,79.61,1,0.24172,1,3,21,0,2
27669,102.47,1,0.38876,1,5,1,2,3
15889,33.0,1,0.64753,1,4,15,0,2
6192,44.7,1,0.72068,1,5,18,0,2
18296,64.35,1,0.43183,1,4,14,0,6
21842,93.53,1,0.29385,0,3,19,0,4
19908,67.65,1,0.43005,1,12,6,0,2
3688,62.41,1,0.19430999999999998,0,7,4,0,7
2316,58.7,1,0.27547,0,2,4,0,1
538,7.93,1,0.43983,1,4,5,0,2
29780,62.48,1,0.8847,0,4,1,0,1
29032,33.0,1,0.48206000000000004,1,5,1,0,1
29982,99.1,2,0.5972,1,11,1,0,1
15460,69.69,1,0.77285,0,8,3,0,1
2797,84.16,1,0.54471,1,9,4,1,3
3382,7.25,1,0.07561,0,3,4,0,1
5751,71.5,1,0.72969,1,4,18,0,1
26156,20.0,1,1.58517,1,2,2,0,3
11391,23.0,1,1.48745,1,11,16,0,6
28015,123.35,1,1.38679,1,9,1,0,3
8738,0.0,1,0.27159,0,1,13,0,5
8297,104.81,1,1.07445,0,4,22,0,6
5339,232.0,0,0.24583000000000002,1,7,21,0,3
30527,16.5,1,0.40703,1,3,1,0,1
21734,43.07,1,0.50927,1,9,19,0,4
16291,30.16,1,1.15424,1,5,15,0,2
20930,19.0,1,0.49077,1,5,6,0,8
31859,10.0,1,0.72491,0,4,8,0,9
21533,25.06,1,0.37573,1,6,6,0,1
10468,72.8,1,0.26693,0,10,24,0,7
6023,39.36,0,0.26900999999999997,1,7,18,0,6
16414,185.03,1,0.58543,1,8,15,0,1
8762,0.0,1,0.15648,1,8,13,0,7
5533,36.33,1,0.29372,0,4,21,0,1
8188,71.91,1,0.34387,1,4,22,0,6
3047,115.5,1,0.15575,1,4,4,0,1
11080,40.1,0,0.43223,1,3,16,0,6
3378,155.88,1,0.4121,1,3,4,0,1
25332,20.82,1,1.97629,1,10,2,0,3
6155,25.0,1,0.43261000000000005,1,8,18,0,6
1718,25.35,0,0.31384,1,9,5,0,3
10269,100.62,1,0.79927,1,1,24,0,4
18588,98.34,1,0.6701600000000001,1,3,14,0,6
22291,18.89,0,0.3975,1,7,19,0,6
14273,39.62,1,0.36267,0,6,3,0,1
24472,46.2,1,0.13831,0,11,2,1,3
26310,82.5,1,0.3661,1,12,2,0,8
21180,33.62,1,0.71683,0,8,6,0,6
30285,24.8,1,0.53167,0,8,1,0,8
23606,38.44,1,0.41762,1,10,9,0,1
30834,27.11,1,0.79708,1,11,1,0,3
11253,49.55,1,0.30607,1,2,16,0,6
15716,101.46,1,1.25201,1,10,15,0,1
25177,19.7,1,0.33082,1,7,2,0,1
31394,38.88,1,0.35315,1,10,8,0,9
17423,99.0,1,0.52272,0,4,7,0,2
14364,87.31,1,0.3108,1,1,3,0,5
31752,49.14,1,1.31141,1,1,8,0,3
25052,23.66,1,0.55319,1,10,2,0,3
3104,26.4,1,0.20967,1,9,4,0,1
33331,10.0,1,0.97206,1,7,10,0,9
21848,22.93,1,0.30773,1,1,19,0,6
6530,35.58,1,0.39724,1,9,18,0,1
6958,45.7,1,1.07835,0,1,12,0,2
24872,221.0,1,0.27698,1,4,2,1,1
14946,195.41,1,0.17915,1,12,3,0,5
28749,62.73,1,0.53962,1,2,1,0,3
25662,61.7,1,1.57475,1,3,2,0,3
16027,49.53,1,1.03742,1,3,15,0,2
5111,64.38,1,0.42962,1,1,21,0,1
7027,41.0,1,0.68362,1,4,12,0,1
19960,64.78,1,0.39195,1,10,6,0,2
11935,28.0,1,0.8233299999999999,1,10,20,0,5
26991,150.34,1,0.27459,1,8,1,0,6
10771,27.69,1,0.70035,1,6,16,0,4
19692,129.77,1,0.70628,1,2,23,0,4
33709,108.72,1,0.71868,1,6,10,0,9
5785,127.61,0,0.56929,1,1,18,0,1
169,130.43,1,0.17627,0,11,5,0,7
10061,192.88,1,0.57075,0,5,25,0,7
23546,29.96,1,0.40736,0,2,9,0,1
1104,417.99,1,0.32809,1,5,5,1,3
9363,49.5,1,0.2026,1,3,13,0,7
25830,46.2,1,0.39350999999999997,1,3,2,0,3
23115,28.1,2,0.35286,0,8,9,0,1
21071,18.36,1,0.42305,0,8,6,0,8
18856,59.9,0,0.9199,1,2,14,0,4
13409,191.26,1,0.36003,1,3,11,0,1
24238,57.0,1,0.28563,1,8,2,0,8
3830,19.0,1,0.39153000000000004,1,10,4,0,3
14611,40.56,1,0.26546,0,2,3,0,5
26267,83.3,1,0.28596,1,9,2,0,3
21801,118.97,1,0.34756,1,12,19,0,1
9946,20.0,1,0.41273000000000004,1,11,25,0,7
11639,72.0,1,1.53148,1,12,20,0,5
8134,29.12,1,1.84408,1,8,22,0,6
2680,213.13,1,0.41623000000000004,1,6,4,2,1
2623,39.66,1,0.22604000000000002,1,11,4,0,2
24152,65.2,1,0.32482,1,11,2,0,6
4993,24.14,1,0.42078999999999994,1,8,21,0,1
6910,15.3,1,0.86154,1,10,12,0,2
33197,50.0,1,1.82612,1,10,10,0,2
24491,26.07,0,1.27441,0,7,2,0,3
28191,71.37,1,0.51854,0,11,1,0,3
3524,72.62,0,0.26279,1,3,4,1,1
19304,38.64,1,1.1523299999999999,0,4,23,0,6
16502,20.46,1,1.1610200000000002,1,3,15,0,8
22224,21.22,0,0.21375,1,2,19,0,4
6121,20.0,1,0.08775,1,5,18,0,2
25078,66.0,1,0.03129,1,11,2,0,1
30737,18.0,0,0.26075,0,8,1,0,8
27540,191.73,0,0.40771999999999997,1,12,1,2,8
30842,18.68,1,0.28178000000000003,1,11,1,0,3
5271,29.8,0,0.44572,1,5,21,0,3
6363,134.48,1,0.31351,1,2,18,0,1
17106,92.72,1,0.42686999999999997,0,10,7,0,2
28108,15.0,0,0.66398,0,6,1,0,3
725,7.2,1,3.2086,0,9,5,0,3
29395,22.0,1,0.38458000000000003,1,10,1,0,1
2294,19.6,1,0.27801,1,4,4,0,1
16834,42.32,1,0.8700600000000001,1,11,7,0,2
30156,7.0,1,0.26075,0,4,1,0,8
24483,99.0,1,0.2844,0,4,2,0,1
28319,40.14,1,0.19741,1,6,1,0,1
31943,9.0,1,0.41435,0,10,8,0,1
27944,80.46,1,0.49628999999999995,1,2,1,0,3
30450,61.61,1,0.25801999999999997,1,12,1,0,1
20654,46.48,0,0.35845,1,5,6,0,2
24505,15.51,1,0.44354,1,11,2,0,8
11953,18.36,1,1.30795,0,3,20,0,5
13794,12.32,1,0.5284,1,2,3,0,2
14707,174.0,0,0.26616,1,10,3,2,1
14832,174.17,0,1.31116,1,6,3,0,5
16890,0.0,1,1.20308,1,4,7,0,8
1738,56.26,1,0.44856,1,12,5,0,7
14751,136.83,1,0.59834,1,1,3,0,5
12689,60.38,1,0.49141,1,8,11,0,1
14230,47.35,1,1.58966,1,1,3,2,5
16859,41.04,0,1.48682,0,4,7,0,8
33568,821.91,2,0.92027,1,7,10,2,9
27725,32.36,1,0.6099899999999999,1,12,1,0,1
15509,13.2,1,0.30653,1,12,3,0,2
14592,13.2,1,0.37132,0,12,3,0,5
32434,23.0,1,0.38126,1,3,8,0,9
11680,56.44,1,0.8543299999999999,1,1,20,0,5
17038,68.93,0,1.44746,1,1,7,2,8
30126,290.9,1,0.31942,0,3,1,0,3
23333,32.7,1,0.36867,1,6,9,0,1
21944,53.0,1,0.2454,0,2,19,0,4
21440,15.0,1,0.1868,0,9,6,0,6
15446,33.0,1,0.12955,0,7,3,0,1
7041,43.07,1,0.77513,0,11,12,0,4
5770,120.16,0,0.8399200000000001,1,10,18,0,1
16342,65.15,1,1.07971,1,11,15,0,8
25680,264.46,0,0.23686999999999997,1,5,2,1,1
13335,16.5,1,0.54588,1,5,11,0,2
28981,191.4,1,0.8634200000000001,1,3,1,0,1
29125,52.8,1,0.31239,1,10,1,0,1
16490,30.27,1,2.31466,1,9,15,0,4
29466,93.5,1,0.39625,1,12,1,0,1
17331,98.78,1,0.18706,0,6,7,0,8
5181,4.95,1,0.30632,1,4,21,0,3
25494,15.0,1,0.22118000000000002,1,1,2,0,3
10415,13.2,0,0.31675,1,2,24,0,7
10630,9.0,1,0.8668299999999999,1,9,24,0,4
19660,157.39,1,0.80076,1,4,23,2,4
1495,28.55,1,0.2448,0,9,5,0,2
7587,25.79,1,0.36401,0,5,12,0,4
26145,6.0,1,1.82333,0,1,2,0,3
18115,51.84,1,0.51483,1,3,14,0,6
12656,73.09,1,1.06261,0,5,11,0,5
31849,82.5,0,0.5257,1,1,8,0,1
33300,187.8,1,0.21008000000000002,1,2,10,0,2
14002,15.58,1,0.30653,1,6,3,0,2
30023,241.43,1,0.30756,1,12,1,2,6
14418,15.17,2,0.11879,1,7,3,0,1
27842,328.44,0,0.37279,1,4,1,0,1
32003,56.1,1,0.25914,1,3,8,0,8
6501,33.0,1,0.43157,0,6,18,0,6
12683,90.1,1,0.32564,0,9,11,0,1
2566,115.5,1,0.3115,0,8,4,0,1
11485,14.0,1,0.89765,1,4,16,0,6
18190,81.26,1,0.33857,0,12,14,0,4
19627,44.82,1,0.49107,0,5,23,0,4
5241,49.5,1,0.18353,1,11,21,0,2
1162,447.03,1,0.47646000000000005,1,12,5,2,2
1815,31.08,1,1.08869,1,8,5,0,3
3834,34.43,0,0.14765999999999999,0,10,4,0,7
8992,26.4,1,0.6201800000000001,1,10,13,1,7
29209,35.0,1,0.366,1,3,1,0,8
25356,232.02,1,1.22348,1,1,2,1,1
7891,79.12,1,0.35173000000000004,0,7,22,0,5
8988,48.84,1,0.8177300000000001,1,9,13,0,7
12186,13.2,1,1.46343,0,8,20,0,5
8114,21.84,1,0.31908000000000003,1,10,22,0,6
29124,252.86,1,0.6924,1,10,1,2,3
15384,20.0,1,0.73027,1,4,3,0,1
32018,41.6,1,0.1514,1,4,8,0,9
29411,9.57,1,0.32263000000000003,1,10,1,0,1
9015,40.0,1,1.42323,1,5,13,0,4
26791,0.0,1,0.69143,1,1,1,0,3
8151,16.52,1,0.12925,1,2,22,0,6
5159,18.32,1,0.44919,1,2,21,0,1
7491,17.9,1,0.8660899999999999,1,3,12,0,4
14847,56.13,1,0.36409,1,6,3,0,1
4133,86.25,1,0.98916,0,11,17,0,4
703,18.0,1,0.65654,1,1,5,0,3
8644,0.0,1,1.4040000000000001,1,12,13,0,7
19594,30.0,1,0.25387,1,11,23,0,4
32483,48.49,1,0.8577600000000001,1,8,8,0,3
12629,26.5,1,0.47536999999999996,0,4,11,0,1
1054,33.0,1,0.31172,1,10,5,0,3
20082,75.4,1,0.44093999999999994,1,8,6,0,1
11357,16.5,1,0.72693,1,6,16,0,7
331,68.81,1,0.18564,1,12,5,0,7
17655,92.0,0,0.39027,1,3,7,0,2
9095,46.28,1,0.20843000000000003,1,9,13,2,7
2471,64.7,1,0.34076,0,12,4,0,1
15199,69.63,1,0.37640999999999997,0,5,3,0,5
30241,180.0,1,0.58965,1,7,1,0,8
26260,394.35,1,0.32997,1,8,2,1,1
26999,66.38,1,0.9563200000000001,0,6,1,0,3
17209,33.4,1,0.92606,1,2,7,0,8
21033,168.24,1,0.29439,0,4,6,0,8
2604,42.97,1,0.35862,1,6,4,0,7
32587,45.0,1,1.8063099999999999,0,7,8,0,2
10527,58.8,1,0.20664000000000002,0,4,24,0,7
6299,39.6,1,0.65851,1,11,18,0,2
23210,19.8,1,1.24027,1,6,9,0,1
716,52.32,1,0.23044,1,4,5,0,3
16159,99.0,1,1.45783,1,6,15,0,1
